ip,subnet_24,zone_label,service_type,service_confidence,ports,protocols,community,degree,in_degree,out_degree,anomaly_score,anomaly_level,is_anomaly
10.10.17.138,10.10.17,"10.10.17|Cache|22,6379,36000",Cache,0.33,22|6379|36000,,53,1,5191,59,0.0197,Low,False
10.20.1.6,10.20.1,10.20.1|Agent|36000,Agent,1.0,36000,,88,2,488,186,0.0611,Low,False
10.26.1.173,10.26.1,"10.26.1|Web|443,36000",Web,0.5,443|36000,,36,2,0,24,0.0611,Low,False
10.10.6.138,10.10.6,10.10.6|Agent|36000,Agent,1.0,36000,,29,2,1508,264,0.0611,Low,False
10.26.1.7,10.26.1,"10.26.1|Web|443,36000",Web,0.5,443|36000,,40,2,397,164,0.0611,Low,False
10.16.0.156,10.16.0,"10.16.0|Web|443,1514,36000",Web,0.33,443|1514|36000,,52,2,6004,169,0.0611,Low,False
10.10.36.75,10.10.36,10.10.36|Web|80,Web,1.0,80,,10,1,0,173,0.1706,Low,False
10.16.36.66,10.16.36,10.16.36|Web|80,Web,1.0,80,,10,1,0,173,0.1706,Low,False
10.10.3.13,10.10.3,"10.10.3|Logging|1514,36000",Logging,0.5,1514|36000,,24,1,5562,177,0.0952,Low,False
10.10.2.133,10.10.2,"10.10.2|Logging|1514,36000",Logging,0.5,1514|36000,,129,1,5579,177,0.0952,Low,False
10.16.0.133,10.16.0,"10.16.0|Logging|443,1514,1515",Logging,0.67,443|1514|1515,,27,2,3,263,0.2876,Low,False
10.16.0.5,10.16.0,"10.16.0|Logging|443,1514,1515",Logging,0.67,443|1514|1515,,61,2,6,263,0.2876,Low,False
10.10.25.95,10.10.25,"10.10.25|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,30,2,70,108,0.1366,Low,False
10.26.13.39,10.26.13,"10.26.13|Logging|443,1514,1515",Logging,0.67,443|1514|1515,,73,2,0,137,0.1366,Low,False
10.26.11.68,10.26.11,"10.26.11|Logging|443,1514,1515",Logging,0.67,443|1514|1515,,87,2,0,101,0.1366,Low,False
10.10.80.123,10.10.80,"10.10.80|Database|111,443,1290,1516,3306,6379,8081,9000,9009,9090,9197",Database,0.09,111|443|1290|1516|3306|6379|8081|9000|9009|9090|9197,,33,1,0,17,0.5908,Low,False
10.10.17.114,10.10.17,"10.10.17|Logging|443,1514,1515",Logging,0.67,443|1514|1515,,78,2,0,18,0.0611,Low,False
10.28.1.172,10.28.1,10.28.1|Agent|36000,Agent,1.0,36000,,98,1,0,7,0.0952,Low,False
10.16.2.160,10.16.2,"10.16.2|Web|443,36000",Web,0.5,443|36000,,12,2,0,94,0.0611,Low,False
10.16.0.163,10.16.0,"10.16.0|Web|443,1514,36000",Web,0.33,443|1514|36000,,90,2,1,8,0.0611,Low,False
10.201.20.174,10.201.20,10.201.20|Web|8080,Web,1.0,8080,,265,1,0,1,0.1706,Low,False
10.10.89.66,10.10.89,10.10.89|Agent|36000,Agent,1.0,36000,,32,1,10,2,0.1706,Low,False
10.16.0.148,10.16.0,"10.16.0|Web|443,36000",Web,0.5,443|36000,,57,2,317,61,0.0611,Low,False
10.28.1.173,10.28.1,"10.28.1|Web|443,36000",Web,0.5,443|36000,,100,2,0,8,0.0611,Low,False
10.100.113.134,10.100.113,"10.100.113|Agent|22,53,443,1514,1515,9092,9200,9201,18060,22003,36000",Agent,0.27,22|53|443|1514|1515|9092|9200|9201|18060|22003|36000,,17,213,224,9,0.8705,High,True
10.20.0.134,10.20.0,10.20.0|Agent|36000,Agent,1.0,36000,,8,2,384,76,0.0938,Low,False
10.20.1.7,10.20.1,"10.20.1|Logging|1514,36000",Logging,0.5,1514|36000,,65,2,5588,26,0.0183,Low,False
10.10.25.187,10.10.25,"10.10.25|Cache|22,6379,36000",Cache,0.33,22|6379|36000,,42,2,5144,89,0.0183,Low,False
10.20.15.47,10.20.15,"10.20.15|Web|22,443",Web,0.5,22|443,,113,2,0,40,0.1366,Low,False
10.20.11.33,10.20.11,"10.20.11|Web|22,443",Web,0.5,22|443,,51,2,0,41,0.1366,Low,False
10.10.6.147,10.10.6,10.10.6|Agent|36000,Agent,1.0,36000,,25,2,47,9,0.0611,Low,False
10.16.2.165,10.16.2,"10.16.2|Web|443,1514,36000",Web,0.33,443|1514|36000,,97,2,5565,30,0.0611,Low,False
10.28.2.14,10.28.2,"10.28.2|Web|443,36000",Web,0.5,443|36000,,100,2,0,8,0.0611,Low,False
10.26.0.31,10.26.0,"10.26.0|Logging|443,1514,1515",Logging,0.67,443|1514|1515,,39,1,0,6,0.0625,Low,False
10.26.0.30,10.26.0,"10.26.0|Logging|443,1514,1515",Logging,0.67,443|1514|1515,,59,1,5570,11,0.0625,Low,False
10.20.2.20,10.20.2,"10.20.2|Logging|443,1514,1515,36000",Logging,0.5,443|1514|1515|36000,,76,2,5576,24,0.0611,Low,False
10.20.15.29,10.20.15,"10.20.15|Web|22,443,36000",Web,0.33,22|443|36000,,64,2,0,8,0.1366,Low,False
10.20.12.35,10.20.12,"10.20.12|Web|22,443,36000",Web,0.33,22|443|36000,,64,2,0,8,0.1366,Low,False
10.10.25.88,10.10.25,"10.10.25|Web|22,443,36000",Web,0.33,22|443|36000,,64,2,0,8,0.1366,Low,False
10.20.12.145,10.20.12,"10.20.12|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.10.17.137,10.10.17,"10.10.17|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.20.15.191,10.20.15,"10.20.15|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.20.17.78,10.20.17,"10.20.17|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.10.25.185,10.10.25,"10.10.25|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.20.12.144,10.20.12,"10.20.12|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.10.17.136,10.10.17,"10.10.17|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.10.26.57,10.10.26,"10.10.26|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.20.11.145,10.20.11,"10.20.11|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.10.21.180,10.10.21,"10.10.21|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.20.17.83,10.20.17,"10.20.17|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.20.15.192,10.20.15,"10.20.15|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.10.14.35,10.10.14,"10.10.14|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.20.15.193,10.20.15,"10.20.15|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.10.19.109,10.10.19,"10.10.19|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.10.25.186,10.10.25,"10.10.25|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.20.15.195,10.20.15,"10.20.15|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.20.12.146,10.20.12,"10.20.12|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.20.15.194,10.20.15,"10.20.15|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.10.16.23,10.10.16,"10.10.16|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.10.64.11,10.10.64,"10.10.64|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.10.65.28,10.10.65,"10.10.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.10.65.23,10.10.65,"10.10.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.10.65.9,10.10.65,"10.10.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.10.8.137,10.10.8,"10.10.8|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.10.64.151,10.10.64,"10.10.64|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.10.65.6,10.10.65,"10.10.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.10.64.9,10.10.64,"10.10.64|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.10.65.10,10.10.65,"10.10.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.10.65.12,10.10.65,"10.10.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.10.65.13,10.10.65,"10.10.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.10.65.11,10.10.65,"10.10.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.10.65.14,10.10.65,"10.10.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.10.65.15,10.10.65,"10.10.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.10.65.16,10.10.65,"10.10.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.10.65.18,10.10.65,"10.10.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.10.65.17,10.10.65,"10.10.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.10.65.24,10.10.65,"10.10.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.10.65.25,10.10.65,"10.10.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.20.64.184,10.20.64,"10.20.64|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,41,1,0,3,0.0952,Low,False
10.10.65.26,10.10.65,"10.10.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.10.65.27,10.10.65,"10.10.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.20.64.183,10.20.64,"10.20.64|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.20.64.185,10.20.64,"10.20.64|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.10.65.5,10.10.65,"10.10.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.20.64.186,10.20.64,"10.20.64|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.26.15.87,10.26.15,"10.26.15|Web|22,443,36000",Web,0.33,22|443|36000,,64,2,0,8,0.1366,Low,False
10.16.17.164,10.16.17,"10.16.17|Web|22,443,36000",Web,0.33,22|443|36000,,64,2,0,8,0.1366,Low,False
10.26.15.47,10.26.15,"10.26.15|Web|22,443,36000",Web,0.33,22|443|36000,,64,2,0,8,0.1366,Low,False
10.26.13.51,10.26.13,"10.26.13|Web|22,443,36000",Web,0.33,22|443|36000,,64,2,0,8,0.1366,Low,False
10.16.19.14,10.16.19,"10.16.19|Web|22,443,36000",Web,0.33,22|443|36000,,64,2,0,8,0.1366,Low,False
10.16.11.91,10.16.11,"10.16.11|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.26.11.254,10.26.11,"10.26.11|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,41,1,0,3,0.0952,Low,False
10.26.13.62,10.26.13,"10.26.13|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,41,1,0,3,0.0952,Low,False
10.16.19.158,10.16.19,"10.16.19|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.26.15.76,10.26.15,"10.26.15|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,41,1,0,3,0.0952,Low,False
10.26.11.253,10.26.11,"10.26.11|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.26.11.146,10.26.11,"10.26.11|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.14.11,10.16.14,"10.16.14|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.17.142,10.16.17,"10.16.17|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.15.94,10.16.15,"10.16.15|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.11.89,10.16.11,"10.16.11|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.13.80,10.16.13,"10.16.13|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.19.153,10.16.19,"10.16.19|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,41,1,0,3,0.0952,Low,False
10.26.11.251,10.26.11,"10.26.11|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.20.33,10.16.20,"10.16.20|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.26.15.74,10.26.15,"10.26.15|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,41,1,0,3,0.0952,Low,False
10.26.13.60,10.26.13,"10.26.13|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.19.152,10.16.19,"10.16.19|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.19.154,10.16.19,"10.16.19|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.15.95,10.16.15,"10.16.15|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.11.90,10.16.11,"10.16.11|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.26.15.59,10.26.15,"10.26.15|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.26.15.68,10.26.15,"10.26.15|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.19.141,10.16.19,"10.16.19|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.26.11.244,10.26.11,"10.26.11|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.26.11.72,10.26.11,"10.26.11|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.19.12,10.16.19,"10.16.19|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.68.11,10.16.68,"10.16.68|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.67.146,10.16.67,"10.16.67|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.68.10,10.16.68,"10.16.68|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.68.8,10.16.68,"10.16.68|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.68.9,10.16.68,"10.16.68|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.68.7,10.16.68,"10.16.68|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.157,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.68.12,10.16.68,"10.16.68|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.158,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.156,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.68.20,10.16.68,"10.16.68|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.68.19,10.16.68,"10.16.68|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.67.152,10.16.67,"10.16.67|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.67.153,10.16.67,"10.16.67|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.67.149,10.16.67,"10.16.67|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.67.143,10.16.67,"10.16.67|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.67.144,10.16.67,"10.16.67|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.67.147,10.16.67,"10.16.67|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.67.148,10.16.67,"10.16.67|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.67.145,10.16.67,"10.16.67|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.67.136,10.16.67,"10.16.67|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.137,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.150,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.67.139,10.16.67,"10.16.67|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.67.137,10.16.67,"10.16.67|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.68.5,10.16.68,"10.16.68|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.68.13,10.16.68,"10.16.68|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.65.175,10.16.65,"10.16.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.29,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.67.133,10.16.67,"10.16.67|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.67.135,10.16.67,"10.16.67|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.67.134,10.16.67,"10.16.67|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.67.138,10.16.67,"10.16.67|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.67.24,10.16.67,"10.16.67|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.41,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.43,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.44,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.35,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.40,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.42,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.39,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.37,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.38,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.34,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.36,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.67.13,10.16.67,"10.16.67|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.67.17,10.16.67,"10.16.67|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.67.14,10.16.67,"10.16.67|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.67.19,10.16.67,"10.16.67|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.67.21,10.16.67,"10.16.67|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.67.15,10.16.67,"10.16.67|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.138,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.30,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.65.169,10.16.65,"10.16.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.19,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.65.137,10.16.65,"10.16.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.65.142,10.16.65,"10.16.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.20,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.65.134,10.16.65,"10.16.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.65.172,10.16.65,"10.16.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.65.149,10.16.65,"10.16.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.65.173,10.16.65,"10.16.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.65.138,10.16.65,"10.16.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.65.160,10.16.65,"10.16.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.143,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.65.158,10.16.65,"10.16.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.65.170,10.16.65,"10.16.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.65.161,10.16.65,"10.16.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.8,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.45,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.33,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.65.146,10.16.65,"10.16.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.17,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.65.177,10.16.65,"10.16.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.21,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.23,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.5,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.16,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.65.9,10.16.65,"10.16.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.9,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.27,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.15,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.26,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.65.165,10.16.65,"10.16.65|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
10.16.66.11,10.16.66,"10.16.66|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,0,1,0,4,0.0952,Low,False
