ip,subnet_24,zone_label,service_type,service_confidence,ports,protocols,community,degree,in_degree,out_degree,anomaly_score,anomaly_level,is_anomaly
10.26.32.5,10.26.32,"10.26.32|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.35.134,10.26.35,"10.26.35|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.32.30,10.26.32,"10.26.32|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.34.6,10.26.34,"10.26.34|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.114.6,10.26.114,"10.26.114|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.34.5,10.26.34,"10.26.34|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.32.160,10.26.32,"10.26.32|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.0.141,10.26.0,"10.26.0|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.1.142,10.26.1,"10.26.1|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.0.143,10.26.0,"10.26.0|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.32.36,10.26.32,"10.26.32|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.2.14,10.26.2,"10.26.2|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.0.15,10.26.0,"10.26.0|Web|443,1514,36000",Web,0.33,443|1514|36000,,210,2,5576,11,0.0611,Low,False
10.26.0.153,10.26.0,"10.26.0|Web|443,1514,36000",Web,0.33,443|1514|36000,,58,2,2,6,0.0611,Low,False
10.26.0.142,10.26.0,"10.26.0|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.0.14,10.26.0,"10.26.0|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.1.13,10.26.1,"10.26.1|Web|443,1514,36000",Web,0.33,443|1514|36000,,215,2,5563,11,0.0611,Low,False
10.26.0.23,10.26.0,"10.26.0|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
