id:ID,name,type,security_domain,subnet,role_guess,zone_id,zone_label,inbound_summary,outbound_summary,inbound_count,outbound_count
10.10.4.147,10.10.4.147,Host,Internal,10.10.4,client,"flow_cli_web|10.10.4|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.4 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.26.0.26(tcp:443;1514;1515);10.20.3.25(tcp:443),1,2
10.10.4.143,10.10.4.143,Host,Internal,10.10.4,client,"flow_cli_web|10.10.4|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.4 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:1514;36000),10.26.0.26(tcp:443;1514;1515);10.20.3.25(tcp:443),1,2
10.10.5.18,10.10.5.18,Host,Internal,10.10.5,client,flow_cli_web|10.10.5|peers:10.26.0|role:client,Web 服务 客户端 · 10.10.5 · 访问 10.26.0 · 客户端,10.26.0.26(tcp:36000),10.26.0.26(tcp:443;1514;1515),1,1
10.10.4.144,10.10.4.144,Host,Internal,10.10.4,client,flow_cli_web|10.10.4|peers:10.26.0|role:client,Web 服务 客户端 · 10.10.4 · 访问 10.26.0 · 客户端,10.26.0.26(tcp:36000),10.26.0.26(tcp:443;1514;1515),1,1
10.10.4.149,10.10.4.149,Host,Internal,10.10.4,client,"flow_cli_web|10.10.4|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.4 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.26.0.26(tcp:443;1514;1515);10.20.3.25(tcp:443),1,2
10.10.4.140,10.10.4.140,Host,Internal,10.10.4,client,"flow_cli_web|10.10.4|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.4 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:1514;36000),10.26.0.26(tcp:443;1514;1515);10.20.3.25(tcp:443),1,2
10.10.5.12,10.10.5.12,Host,Internal,10.10.5,client,"flow_cli_web|10.10.5|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.5 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:1514;36000),10.26.0.26(tcp:443;1514;1515);10.20.3.25(tcp:443),1,2
10.10.5.138,10.10.5.138,Host,Internal,10.10.5,client,"flow_cli_web|10.10.5|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.5 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:1514;36000),10.20.3.25(tcp:443);10.26.0.26(tcp:443;1514;1515),1,2
10.10.1.136,10.10.1.136,Host,Internal,10.10.1,client,"flow_cli_web|10.10.1|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.1 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.20.3.25(tcp:443);10.26.0.26(tcp:443;1514;1515),1,2
10.10.5.147,10.10.5.147,Host,Internal,10.10.5,client,"flow_cli_web|10.10.5|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.5 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.20.3.25(tcp:443);10.26.0.26(tcp:443;1514;1515),1,2
10.10.1.145,10.10.1.145,Host,Internal,10.10.1,client,flow_cli_web|10.10.1|peers:10.20.3|role:client,Web 服务 客户端 · 10.10.1 · 访问 10.20.3 · 客户端,10.26.0.26(tcp:36000),10.20.3.25(tcp:443),1,1
10.10.1.148,10.10.1.148,Host,Internal,10.10.1,client,flow_cli_web|10.10.1|peers:10.20.3|role:client,Web 服务 客户端 · 10.10.1 · 访问 10.20.3 · 客户端,10.26.0.26(tcp:36000),10.20.3.25(tcp:443),1,1
10.10.1.138,10.10.1.138,Host,Internal,10.10.1,client,flow_cli_web|10.10.1|peers:10.20.3|role:client,Web 服务 客户端 · 10.10.1 · 访问 10.20.3 · 客户端,10.26.0.26(tcp:36000),10.20.3.25(tcp:443),1,1
10.10.1.135,10.10.1.135,Host,Internal,10.10.1,client,flow_cli_web|10.10.1|peers:10.20.3|role:client,Web 服务 客户端 · 10.10.1 · 访问 10.20.3 · 客户端,10.26.0.26(tcp:36000),10.20.3.25(tcp:443),1,1
10.10.5.149,10.10.5.149,Host,Internal,10.10.5,client,flow_cli_web|10.10.5|peers:10.20.3|role:client,Web 服务 客户端 · 10.10.5 · 访问 10.20.3 · 客户端,10.26.0.26(tcp:1514;36000),10.20.3.25(tcp:443);10.26.0.26(tcp:1514),1,2
10.10.5.141,10.10.5.141,Host,Internal,10.10.5,client,"flow_cli_web|10.10.5|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.5 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.20.3.25(tcp:443);10.26.0.26(tcp:443;1514;1515),1,2
10.10.5.16,10.10.5.16,Host,Internal,10.10.5,client,"flow_cli_web|10.10.5|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.5 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:1514;36000),10.20.3.25(tcp:443);10.26.0.26(tcp:443;1514;1515),1,2
10.10.5.13,10.10.5.13,Host,Internal,10.10.5,client,"flow_cli_web|10.10.5|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.5 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.20.3.25(tcp:443);10.26.0.26(tcp:443;1514;1515),1,2
10.10.2.18,10.10.2.18,Host,Internal,10.10.2,client,"flow_cli_web|10.10.2|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.2 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.20.3.25(tcp:443);10.26.0.26(tcp:443;1514;1515),1,2
10.10.2.7,10.10.2.7,Host,Internal,10.10.2,client,"flow_cli_web|10.10.2|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.2 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.20.3.25(tcp:443);10.26.0.26(tcp:443;1514;1515),1,2
10.10.5.150,10.10.5.150,Host,Internal,10.10.5,client,"flow_cli_web|10.10.5|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.5 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:1514;36000),10.20.3.25(tcp:443);10.26.0.26(tcp:443;1514;1515),1,2
10.10.2.22,10.10.2.22,Host,Internal,10.10.2,client,"flow_cli_web|10.10.2|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.2 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.20.3.25(tcp:443);10.26.0.26(tcp:443;1514;1515),1,2
10.10.5.153,10.10.5.153,Host,Internal,10.10.5,client,"flow_cli_web|10.10.5|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.5 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:1514;36000),10.20.3.25(tcp:443);10.26.0.26(tcp:443;1514;1515),1,2
10.10.2.12,10.10.2.12,Host,Internal,10.10.2,client,"flow_cli_web|10.10.2|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.2 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.20.3.25(tcp:443);10.26.0.26(tcp:443;1514;1515),1,2
10.10.2.9,10.10.2.9,Host,Internal,10.10.2,client,"flow_cli_web|10.10.2|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.2 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.20.3.25(tcp:443);10.26.0.26(tcp:443;1514;1515),1,2
10.10.4.137,10.10.4.137,Host,Internal,10.10.4,client,"flow_cli_web|10.10.4|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.4 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.20.3.25(tcp:443);10.26.0.26(tcp:443;1514;1515),1,2
10.10.1.137,10.10.1.137,Host,Internal,10.10.1,client,"flow_cli_web|10.10.1|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.1 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.20.3.25(tcp:443);10.26.0.26(tcp:443;1514;1515),1,2
10.10.5.143,10.10.5.143,Host,Internal,10.10.5,client,"flow_cli_web|10.10.5|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.5 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.26.0.26(tcp:443;1514;1515);10.20.3.25(tcp:443),1,2
10.10.1.134,10.10.1.134,Host,Internal,10.10.1,client,"flow_cli_web|10.10.1|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.1 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:1514;36000),10.26.0.26(tcp:443;1514;1515);10.20.3.25(tcp:443),1,2
10.20.0.33,10.20.0.33,Host,Internal,10.20.0,client,"flow_cli_web|10.20.0|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.20.0 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.26.0.26(tcp:443;1514;1515);10.20.3.25(tcp:443),1,2
10.20.0.36,10.20.0.36,Host,Internal,10.20.0,client,"flow_cli_web|10.20.0|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.20.0 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.26.0.26(tcp:443;1514;1515);10.20.3.25(tcp:443),1,2
10.10.2.13,10.10.2.13,Host,Internal,10.10.2,client,"flow_cli_web|10.10.2|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.2 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:1514;36000),10.26.0.26(tcp:443;1514;1515);10.20.3.25(tcp:443),1,2
10.20.0.32,10.20.0.32,Host,Internal,10.20.0,client,"flow_cli_web|10.20.0|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.20.0 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.26.0.26(tcp:443;1514;1515);10.20.3.25(tcp:443),1,2
10.20.0.35,10.20.0.35,Host,Internal,10.20.0,client,"flow_cli_web|10.20.0|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.20.0 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:1514;36000),10.26.0.26(tcp:443;1514;1515);10.20.3.25(tcp:443),1,2
10.10.4.139,10.10.4.139,Host,Internal,10.10.4,client,"flow_cli_web|10.10.4|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.4 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.26.0.26(tcp:443;1514;1515);10.20.3.25(tcp:443),1,2
10.20.1.35,10.20.1.35,Host,Internal,10.20.1,client,"flow_cli_web|10.20.1|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.20.1 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.26.0.26(tcp:443;1514;1515);10.20.3.25(tcp:443),1,2
10.10.2.153,10.10.2.153,Host,Internal,10.10.2,client,"flow_cli_web|10.10.2|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.2 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.26.0.26(tcp:443;1514;1515);10.20.3.25(tcp:443),1,2
10.10.4.134,10.10.4.134,Host,Internal,10.10.4,client,"flow_cli_web|10.10.4|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.4 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:1514;36000),10.26.0.26(tcp:443;1514;1515);10.20.3.25(tcp:443),1,2
10.10.5.146,10.10.5.146,Host,Internal,10.10.5,client,"flow_cli_web|10.10.5|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.5 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.26.0.26(tcp:443;1514;1515);10.20.3.25(tcp:443),1,2
10.10.5.144,10.10.5.144,Host,Internal,10.10.5,client,"flow_cli_web|10.10.5|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.5 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.26.0.26(tcp:443;1514;1515);10.20.3.25(tcp:443),1,2
10.10.4.142,10.10.4.142,Host,Internal,10.10.4,client,"flow_cli_web|10.10.4|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.4 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:1514;36000),10.26.0.26(tcp:443;1514;1515);10.20.3.25(tcp:443),1,2
10.10.5.137,10.10.5.137,Host,Internal,10.10.5,client,flow_cli_web|10.10.5|peers:10.20.3|role:client,Web 服务 客户端 · 10.10.5 · 访问 10.20.3 · 客户端,10.26.0.26(tcp:36000),10.20.3.25(tcp:443),1,1
10.10.5.15,10.10.5.15,Host,Internal,10.10.5,client,flow_cli_web|10.10.5|peers:10.20.3|role:client,Web 服务 客户端 · 10.10.5 · 访问 10.20.3 · 客户端,10.26.0.26(tcp:36000),10.20.3.25(tcp:443),1,1
10.10.5.145,10.10.5.145,Host,Internal,10.10.5,client,flow_cli_web|10.10.5|peers:10.20.3|role:client,Web 服务 客户端 · 10.10.5 · 访问 10.20.3 · 客户端,10.26.0.26(tcp:36000),10.20.3.25(tcp:443),1,1
10.10.5.19,10.10.5.19,Host,Internal,10.10.5,client,flow_cli_web|10.10.5|peers:10.20.3|role:client,Web 服务 客户端 · 10.10.5 · 访问 10.20.3 · 客户端,10.26.0.26(tcp:36000),10.20.3.25(tcp:443),1,1
10.10.5.9,10.10.5.9,Host,Internal,10.10.5,client,flow_cli_web|10.10.5|peers:10.20.3|role:client,Web 服务 客户端 · 10.10.5 · 访问 10.20.3 · 客户端,10.26.0.26(tcp:36000),10.20.3.25(tcp:443),1,1
